,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Company_Name,Report_Type,Net_Margin,Revenue_QoQ,Operating_Margin,Fiscal_Quarter,Fiscal_Year,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges,Write Off,Gain On Sale Of Security,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Average Dilution Earnings,Earnings From Equity Interest,Restructuring And Mergern Acquisition,Earnings From Equity Interest Net Of Tax,Other Operating Expenses,Otherunder Preferred Stock Dividend,Preferred Stock Dividends,Other Special Charges,Insurance And Claims,Salaries And Wages,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense,Impairment Of Capital Assets,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement
2024-09-30,0.0,0.21,32502000000.0,14736000000.0,2911000000.0,51051000000.0,32502000000.0,29591000000.0,,,,14736000000.0,14736000000.0,65339000000.0,29591000000.0,15242853000.0,15171990000.0,0.97,0.97,14736000000.0,14736000000.0,14736000000.0,14736000000.0,14736000000.0,14874000000.0,29610000000.0,19000000.0,19000000.0,,,,29591000000.0,14288000000.0,7765000000.0,6523000000.0,43879000000.0,51051000000.0,94930000000.0,94930000000.0,Apple Inc.,Quarterly,0.15523016959865163,,0.31171389444854103,3,2024,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,0.0,0.159,28202000000.0,21448000000.0,2850000000.0,46099000000.0,28202000000.0,25352000000.0,,,,21448000000.0,21448000000.0,60425000000.0,25352000000.0,15348175000.0,15287521000.0,1.4,1.4,21448000000.0,21448000000.0,21448000000.0,21448000000.0,21448000000.0,4046000000.0,25494000000.0,142000000.0,142000000.0,,,,25352000000.0,14326000000.0,8006000000.0,6320000000.0,39678000000.0,46099000000.0,85777000000.0,85777000000.0,Apple Inc.,Quarterly,0.25004371801298714,-0.0964,0.29555708406682446,2,2024,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,0.0,0.158,30736000000.0,23636000000.0,2836000000.0,48482000000.0,30736000000.0,27900000000.0,,,,23636000000.0,23636000000.0,62853000000.0,27900000000.0,15464709000.0,15405856000.0,1.53,1.53,23636000000.0,23636000000.0,23636000000.0,23636000000.0,23636000000.0,4422000000.0,28058000000.0,158000000.0,158000000.0,,,,27900000000.0,14371000000.0,7903000000.0,6468000000.0,42271000000.0,48482000000.0,90753000000.0,90753000000.0,Apple Inc.,Quarterly,0.26044318094167684,0.058,0.30742785362467356,1,2024,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,0.0,0.159,43221000000.0,33916000000.0,2848000000.0,64720000000.0,43221000000.0,40373000000.0,,,,33916000000.0,33916000000.0,79202000000.0,40373000000.0,15576641000.0,15509763000.0,2.18,2.19,33916000000.0,33916000000.0,33916000000.0,33916000000.0,33916000000.0,6407000000.0,40323000000.0,-50000000.0,-50000000.0,,,,40373000000.0,14482000000.0,7696000000.0,6786000000.0,54855000000.0,64720000000.0,119575000000.0,119575000000.0,Apple Inc.,Quarterly,0.2836378841731131,0.3176,0.337637466025507,4,2023,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,0.0,0.149715,30653000000.0,22956000000.0,2653000000.0,49071000000.0,30653000000.0,28000000000.0,-18000000.0,1002000000.0,984000000.0,22956000000.0,22956000000.0,62529000000.0,26969000000.0,15672400000.0,15599434000.0,1.46,1.47,22956000000.0,22956000000.0,22956000000.0,22956000000.0,22956000000.0,4042000000.0,26998000000.0,47000000.0,47000000.0,-18000000.0,1002000000.0,984000000.0,26969000000.0,13458000000.0,7307000000.0,6151000000.0,40427000000.0,49071000000.0,89498000000.0,89498000000.0,Apple Inc.,Quarterly,0.25649735189613176,-0.2515,0.30133634271156895,3,2023,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,,,,,,,,,-18000000.0,998000000.0,980000000.0,,,,,,,,,,,,,,,,,,-18000000.0,998000000.0,980000000.0,,,,,,,,,Apple Inc.,Quarterly,,0.0,,2,2023,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,-12000000.0,930000000.0,918000000.0,,,,,,,,,,,,,,,,,,-12000000.0,930000000.0,918000000.0,,,,,,,,,Apple Inc.,Quarterly,,0.0,,1,2023,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,57190000.0,0.19,37933000000.0,24667000000.0,7383000000.0,20099000000.0,38234000000.0,30851000000.0,99000000.0,582000000.0,681000000.0,24423190000.0,24667000000.0,35033000000.0,30552000000.0,7470000000.0,7433000000.0,3.3,3.32,24667000000.0,24667000000.0,24667000000.0,24667000000.0,24667000000.0,5602000000.0,30269000000.0,-382000000.0,-683000000.0,99000000.0,582000000.0,681000000.0,30552000000.0,14934000000.0,7544000000.0,7390000000.0,45486000000.0,20099000000.0,65585000000.0,65585000000.0,Microsoft Corporation,Quarterly,0.37610734161774795,,0.4658382252039338,3,2024,301000000.0,301000000.0,-7000000.0,7000000.0,308000000.0,5717000000.0,1673000000.0,1673000000.0,,,,,,,,,,,,,,,,
2024-06-30,-16263853.211009,0.191339,34416000000.0,22036000000.0,6380000000.0,19684000000.0,34331000000.0,27951000000.0,-63000000.0,701000000.0,638000000.0,22104736146.78899,22036000000.0,36802000000.0,27925000000.0,7472000000.0,7433000000.0,2.95,2.96,22036000000.0,22036000000.0,22036000000.0,22036000000.0,22036000000.0,5214000000.0,27250000000.0,-612000000.0,-527000000.0,-63000000.0,701000000.0,638000000.0,27925000000.0,17118000000.0,8056000000.0,9062000000.0,45043000000.0,19684000000.0,64727000000.0,64727000000.0,Microsoft Corporation,Quarterly,0.34044525468506187,-0.0131,0.43142737960974553,2,2024,-85000000.0,-85000000.0,-22000000.0,22000000.0,-63000000.0,6816000000.0,2246000000.0,2246000000.0,,,,,,,,,,,,,,,,
2024-03-31,-33660000.0,0.18,33741000000.0,21939000000.0,6027000000.0,18505000000.0,33554000000.0,27527000000.0,-181000000.0,800000000.0,619000000.0,22092340000.0,21939000000.0,34277000000.0,27581000000.0,7472000000.0,7431000000.0,2.94,2.95,21939000000.0,21939000000.0,21939000000.0,21939000000.0,21939000000.0,4788000000.0,26727000000.0,-673000000.0,-486000000.0,-181000000.0,800000000.0,619000000.0,27581000000.0,15772000000.0,7653000000.0,8119000000.0,43353000000.0,18505000000.0,61858000000.0,61858000000.0,Microsoft Corporation,Quarterly,0.3546671408710272,-0.0443,0.4458760386692101,1,2024,-187000000.0,-187000000.0,-17000000.0,17000000.0,-170000000.0,6207000000.0,1912000000.0,1912000000.0,,,,,,,,,,,,,,,,
