,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Company_Name,Daily_Return,Trading_Range,Volume_Ratio,Trading_Day,Trading_Month,Trading_Quarter,Trading_Year
0,"December 20, 2023",195.94,196.72,193.88,193.88,52242800,0.0,0.0,AAPL,Apple Inc.,0.0,2.84,1.0,Wednesday,December,Q4,2023
1,"December 21, 2023",195.14,196.12,192.56,193.73,46482500,0.0,0.0,AAPL,Apple Inc.,-0.08,3.56,0.89,Thursday,December,Q4,2023
2,"December 22, 2023",194.23,194.46,192.03,192.66,37122800,0.0,0.0,AAPL,Apple Inc.,-0.55,2.43,0.8,Friday,December,Q4,2023
3,"December 26, 2023",192.67,192.94,191.89,192.11,28919300,0.0,0.0,AAPL,Apple Inc.,-0.28,1.05,0.78,Tuesday,December,Q4,2023
4,"December 27, 2023",191.55,192.56,190.16,192.21,48087700,0.0,0.0,AAPL,Apple Inc.,0.05,2.4,1.66,Wednesday,December,Q4,2023
5,"December 28, 2023",193.19,193.71,192.23,192.64,34049900,0.0,0.0,AAPL,Apple Inc.,0.22,1.48,0.71,Thursday,December,Q4,2023
6,"December 29, 2023",192.95,193.45,190.8,191.59,42628800,0.0,0.0,AAPL,Apple Inc.,-0.54,2.66,1.25,Friday,December,Q4,2023
7,"January 02, 2024",186.24,187.52,182.99,184.73,82488700,0.0,0.0,AAPL,Apple Inc.,-3.58,4.53,1.94,Tuesday,January,Q1,2024
8,"January 03, 2024",183.32,184.97,182.54,183.35,58414500,0.0,0.0,AAPL,Apple Inc.,-0.75,2.44,0.71,Wednesday,January,Q1,2024
9,"January 04, 2024",181.26,182.2,180.0,181.02,71983600,0.0,0.0,AAPL,Apple Inc.,-1.27,2.2,1.23,Thursday,January,Q1,2024
10,"January 05, 2024",181.1,181.87,179.29,180.3,62303300,0.0,0.0,AAPL,Apple Inc.,-0.4,2.58,0.87,Friday,January,Q1,2024
11,"January 08, 2024",181.2,184.7,180.62,184.66,59144500,0.0,0.0,AAPL,Apple Inc.,2.42,4.08,0.95,Monday,January,Q1,2024
12,"January 09, 2024",183.02,184.25,181.84,184.24,42841800,0.0,0.0,AAPL,Apple Inc.,-0.23,2.41,0.72,Tuesday,January,Q1,2024
13,"January 10, 2024",183.45,185.49,183.02,185.28,46792900,0.0,0.0,AAPL,Apple Inc.,0.57,2.47,1.09,Wednesday,January,Q1,2024
14,"January 11, 2024",185.63,186.14,182.72,184.69,49128400,0.0,0.0,AAPL,Apple Inc.,-0.32,3.41,1.05,Thursday,January,Q1,2024
15,"January 12, 2024",185.15,185.83,184.29,185.01,40444700,0.0,0.0,AAPL,Apple Inc.,0.18,1.54,0.82,Friday,January,Q1,2024
16,"January 16, 2024",181.27,183.36,180.05,182.73,65603000,0.0,0.0,AAPL,Apple Inc.,-1.23,3.31,1.62,Tuesday,January,Q1,2024
17,"January 17, 2024",180.39,182.04,179.42,181.79,47317400,0.0,0.0,AAPL,Apple Inc.,-0.52,2.62,0.72,Wednesday,January,Q1,2024
18,"January 18, 2024",185.18,188.22,184.92,187.71,78005800,0.0,0.0,AAPL,Apple Inc.,3.26,3.29,1.65,Thursday,January,Q1,2024
